customer_master_id,bu_id,engagement_id,customer_master_as_of_date_id,customer_account_cd,customer_account_name,customer_group,customer_physical_street_addr1,customer_physical_street_addr2,customer_physical_city,customer_physical_state_province,customer_physical_country,customer_physical_zip_code,customer_tax_id,customer_billing_address1,customer_billing_address2,customer_billing_city,customer_billing_state_province,customer_billing_country,customer_billing_zip_code,payment_terms_desc,payment_terms_days,bank_name,bank_account_no,beneficiary,active_ind,active_ind_change_date_id,credit_limit_curr_cd,transaction_credit_limit,overall_credit_limit,ey_related_party,created_by_id,created_date_id,created_time_id,last_modified_by_id,last_modified_date_id,approved_by_id,approved_by_date_id,ver_start_date_id,ver_end_date_id,ver_desc
14,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,28,EY_UNKNOWN (0000000028),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
15,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,30,EY_UNKNOWN (0000000030),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
16,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,31,EY_UNKNOWN (0000000031),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
17,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,33,EY_UNKNOWN (0000000033),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
18,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,36,EY_UNKNOWN (0000000036),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
19,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,37,EY_UNKNOWN (0000000037),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
20,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,40,EY_UNKNOWN (0000000040),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
21,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,43,EY_UNKNOWN (0000000043),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
22,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,44,EY_UNKNOWN (0000000044),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
23,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,53,EY_UNKNOWN (0000000053),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
